,No,Constituency,Winner,Votes,Majority,Opponent 1,Votes Opponent 1,Incumbent,Incumbent Majority,Opponent 2,Votes Opponent 2,Opponent 3,Votes Opponent 3,Opponent 4,Votes Opponent 4,Opponent 5,Votes Opponent 5
0,"P99
","Ampang
","Zuraida Kamarudin (PH-PKR)
","54,307
","41,956
","Leong Kim Soon  (BN-MCA)
","12,351
","Zuraida Kamarudin (PH-PKR)
","13,278
","Nurul Islam Mohamed Yusoff  (GS-PAS)
","9,598
","Tan Hua Meng  (PRM)
","294
",,,,
0,"P100
","Pandan
","Wan Azizah Wan Ismail  (PH-PKR)
","64,733
","52,543
","Leong Kok Wee  (BN-MCA)
","12,190
","Mohd Rafizi Ramli  (PH-PKR)
","26,729
","Mohamed Sukri Omar  (GS-PAS)
","8,336
","Lee Ying Ha  (PRM)
","442
","Mohd Khairul Azam Abdul Aziz (IND)
","73
",,
0,"P101
","Hulu Langat
","Hasanuddin Mohd Yunus  (PH-AMANAH)
","49,004
","25,424
","Azman Ahmad  (BN-UMNO)
","23,580
","Che Rosli Che Mat  (GS-PAS)
","17,267
","Che Rosli Che Mat  (GS-PAS)
","15,663
",,,,,,
0,"P102
","Bangi (previously known as Serdang)[3]
","Ong Kian Ming (PH-DAP)
","102,557
","68,768
","Mohd Shafie Ngah  (GS-PAS)
","33,789
","Ong Kian Ming (PH-DAP)
","42,206
","Liew Yuen Keong  (BN-MCA)
","19,766
","Wan Jinn Woei  (PRM)
","215
",,,,
0,"P103
","Puchong
","Gobind Singh Deo (PH-DAP)
","60,429
","47,635
","Ng Chin Tat  (BN-GERAKAN)
","12,794
","Gobind Singh Deo (PH-DAP)
","32,802
","Mohamad Rosalizan Roslan  (GS-PAS)
","10,255
",,,,,,
0,"P104
","Subang (previously known as Kelana Jaya)[3]
","Wong Chen (PH-PKR)
","104,430
","92,353
","Tan Seong Lim  (BN-MCA)
","12,077
","Wong Chen (PH-PKR)
","28,827
","Mohd Shahir Mohd Adnan  (GS-IKATAN)
","9,025
","Toh Sin Wah (IND)
","173
",,,,
0,"P105
","Petaling Jaya (previously known as Petaling Jaya Selatan)[3]
","Maria Chin Abdullah (PH-PKR)
","78,984
","57,137
","Chew Hian Tat  (BN-MCA)
","21,847
","Hee Loy Sian (PH-PKR)
","19,216
","Noraini Hussin  (GS-PAS)
","14,448
",,,,,,
0,"P106
","Damansara (previously known as Petaling Jaya Utara)[3]
","Tony Pua Kiam Wee (PH-DAP)
","121,283
","106,903
","Ho Kwok Xheng  (BN-MCA)
","14,380
","Tony Pua Kiam Wee (PH-DAP)
","44,672
","Wong Mun Kheong  (PRM)
","617
",,,,,,
0,"P107
","Sungai Buloh (previously known as Subang)[3]
","Sivarasa K. Rasiah (PH-PKR)
","43,631
","26,634
","Nuridah Salleh  (GS-PAS)
","16,997
","Sivarasa K. Rasiah (PH-PKR)
","26,719
","A Prakash Rao  (BN-MIC)
","16,681
","Zainurizzaman Moharam (PSM)
","642
",,,,
0,"P108
","Shah Alam
","Khalid Abdul Samad  (PH-AMANAH)
","55,949
","33,849
","Azhari Shaari  (BN-UMNO)
","22,100
","Khalid Abdul Samad  (PH-AMANAH)
","10,939
","Mohd Zuhdi Marzuki  (GS-PAS)
","15,194
",,,,,,
0,"P109
","Kapar
","Abdullah Sani Abdul Hamid (PH-PKR)
","47,731
","16,306
","Abd Rani Osman  (GS-PAS)
","31,425
","G. Manivannan Gowindasamy (PH-PKR)
","23,790
","Mohana Muniandy Raman  (BN-MIC)
","26,412
","S Manikavasagam Sundaram  (PRM)
","525
",,,,
0,"P110
","Klang
","Charles Santiago (PH-DAP)
","98,279
","78,773
","Ching Eu Boon  (BN-MCA)
","19,506
","Charles Santiago (PH-DAP)
","24,685
","Khairushah Kottapan Abdullah  (GS-PAS)
","9,169
","Puvananderan Ganasamoorthy  (IND)
","120
",,,,
0,"P111
","Kota Raja
","Mohamad Sabu  (PH-AMANAH)
","90,697
","71,142
","Mohamed Diah Baharun  (GS-PAS)
","19,555
","Siti Mariah Mahmud  (PH-AMANAH)
","29,395
","V. Gunalan  (BN-MIC)
","17,874
",,,,,,
0,"P112
","Kuala Langat
","Xavier Jayakumar Arul Anandam (PH-PKR)
","43,239
","17,112
","Shahril Sufian Hamdan  (BN-UMNO)
","26,127
","Abdullah Sani Abdul Hamid (PH-PKR)
","5,358
","Yahya Baba  (GS-PAS)
","18,731
",,,,,,
0,"P113
","Sepang
","Mohamed Hanipa Maidin (PH-AMANAH)
","46,740
","18,705
","Marsum Paing  (BN-UMNO)
","28,035
","Mohamed Hanipa Maidin (PH-AMANAH)
","1,142
","Sabirin Marsono  (GS-PAS)
","15,882
",,,,,,
0,"P114
","Kepong
","Lim Lip Eng (PH-DAP)
","56,516
","51,628
","Ong Siang Liang  (BN-GERAKAN)
","4,888
","Tan Seng Giaw (PH-DAP)
","40,307
",,,,,,,,
0,"P115
","Batu
","Prabakaran M Parameswaran (PH-PKR)
","38,125
","24,438
","Dominic Lau  (BN-GERAKAN)
","13,687
","Chua Tian Chang (PH-PKR)
","13,284
","Azhar Yahya  (GS-PAS)
","10,610
","VM Panjamothy Muthusamy (IND)
","383
",,,,
0,"P116
","Wangsa Maju
","Tan Yee Kew (PH-PKR)
","42,178
","24,238
","Yeow Teong Look  (BN-MCA)
","17,940
","Tan Kee Kwong (PH-PKR)
","5,511
","Razali Tumiran  (GS-PAS)
","13,490
",,,,,,
0,"P117
","Segambut
","Hannah Yeoh (PH-DAP)
","53,124
","45,702
","Loga Bala Mohan  (BN-myPPP)
","7,422
","Lim Lip Eng (PH-DAP)
","19,199
","Muhammad Soleh Abdul Razak  (GS-PAS)
","4,181
",,,,,,
0,"P118
","Setiawangsa
","Nik Nazmi  (PH-PKR)
","34,471
","14,372
","Zulhasnan Rafique  (BN-UMNO)
","20,099
","Ahmad Fauzi Zahari (BN-UMNO)
","1,390
","Ubaid Abdul Akla  (GS-PAS)
","6,282
",,,,,,
0,"P119
","Titiwangsa
","Rina Harun (PH-PPBM)
","23,840
","4,139
","Johari Abdul Ghani (BN-UMNO)
","19,701
","Johari Abdul Ghani (BN-UMNO)
","866
","Mohammad Noor Mohammad  (GS-PAS)
","6,845
",,,,,,
0,"P120
","Bukit Bintang
","Fong Kui Lun (PH-DAP)
","44,516
","37,260
","Ann Tan Ean Ean  (BN-MCA)
","7,256
","Fong Kui Lun (PH-DAP)
","19,399
","Khairul  (PFP)
","636
",,,,,,
0,"P121
","Lembah Pantai
","Fahmi Fadzil (PH-PKR)
","33,313
","5,598
","Raja Nong Chik Raja Zainal Abidin  (BN-UMNO)
","27,715
","Nurul Izzah Anwar (PH-PKR)
","1,847
","Lar Fauzi Abu Bakar  (GS-PAS)
","5,277
",,,,,,
0,"P122
","Seputeh
","Teresa Kok Suh Sim (PH-DAP)
","63,094
","56,059
","Chan Quin Er  (BN-MCA)
","7,035
","Teresa Kok Suh Sim (PH-DAP)
","51,522
",,,,,,,,
0,"P123
","Cheras
","Tan Kok Wai (PH-DAP)
","56,671
","49,665
","Heng Sinn Yee  (BN-MCA)
","7,006
","Tan Kok Wai (PH-DAP)
","37,409
",,,,,,,,
0,"P124
","Bandar Tun Razak
","Kamarudin Jaffar (PH-PKR)
","41,126
","19,930
","Adnan Abu Seman  (BN-UMNO)
","21,196
","Abdul Khalid Ibrahim (IND)
","11,832
","Rosni Adam  (GS-PAS)
","7,884
",,,,,,
0,"P125
","Putrajaya
","Tengku Adnan Tengku Mansor  (BN-UMNO)
","12,148
","3,372
","Samsu Adabi Mamat (PH-PPBM)
","8,776
","Tengku Adnan Tengku Mansor  (BN-UMNO)
","5,541
","Zainal Abidin Kidam  (GS-PAS)
","3,634
",,,,,,
0,"P126
","Jelebu
","Jalaluddin Alias  (BN-UMNO)
","19,062
","2,045
","Mustafar Abd. Kadir  (PH-AMANAH)
","17,017
","Vacant [5]
","7,101
","Norman Ipin  (GS-PAS)
","2,878
",,,,,,
0,"P127
","Jempol
","Mohd Salim Shariff  (BN-UMNO)
","26,819
","1,631
","Kamarulzaman Kamdias (PH-PPBM)
","25,188
","Mohd Isa Abdul Samad  (BN-UMNO)
","8,629
","Mustaffa Daharun  (GS-PAS)
","5,267
",,,,,,
0,"P128
","Seremban
","Loke Siew Fook  (PH-DAP)
","55,503
","30,694
","Choong Sin Woon  (BN-MCA)
","24,809
","Loke Siew Fook  (PH-DAP)
","12,533
","Shariffuddin Ahmad  (GS-PAS)
","11,506
",,,,,,
0,"P129
","Kuala Pilah
","Eddin Syazlee Shith (PH-PPBM)
","18,045
","200
","Hassan Malek  (BN-UMNO)
","17,845
","Hassan Malek  (BN-UMNO)
","9,661
","Rafiei Mustapha  (GS-PAS)
","4,347
",,,,,,
0,"P130
","Rasah
","Cha Kee Chin  (PH-DAP)
","61,806
","46,867
","Ng Kean Nam  (BN-MCA)
","14,939
","Teo Kok Seong  (PH-DAP)
","24,101
","Mohd Khairil Anuar Mohd Wafa  (GS-PAS)
","8,260
","David Dass Aseerpatham  (PAP)
","302
",,,,
0,"P131
","Rembau
","Khairy Jamaluddin  (BN-UMNO)
","36,096
","4,364
","Roseli Abdul Gani (PH-PKR)
","31,732
","Khairy Jamaluddin  (BN-UMNO)
","18,357
","Mustafa Dolah  (GS-PAS)
","6,028
",,,,,,
0,"P132
","Port Dickson (previously known as Telok Kemang)[3]
","Danyal Balagopal Abdullah (PH-PKR)
","36,225
","17,710
","V.S. Mogan  (BN-MIC)
","18,515
","Kamarul Bahrin Abbas (PH-PKR)
","1,579
","Mahfuz Roslan  (GS-PAS)
","6,594
",,,,,,
0,"P133
","Tampin
","Hasan Baharom  (PH-AMANAH)
","22,435
","1,002
","Shaziman Abu Mansor  (BN-UMNO)
","21,433
","Shaziman Abu Mansor  (BN-UMNO)
","11,162
","Abdul Halim Abu Bakar  (GS-PAS)
","4,598
",,,,,,
0,"P134
","Masjid Tanah
","Mas Ermieyati Samsudin (quit BN)  (IND)
","22,898
","8,159
","Sabirin Ja’afar (PH-PPBM)
","14,739
","Mas Ermieyati Samsudin  (BN-UMNO)
","16,200
","Mohd. Nasir Othman  (GS-PAS)
","4,688
",,,,,,
0,"P135
","Alor Gajah
","Mohd. Redzuan Yusof (PH-PPBM)
","29,330
","6,980
","Wong Nai Chee  (BN-MCA)
","22,350
","Koh Nai Kwong  (BN-MCA)
","11,597
","Mohammad Nazree Mohammad Aris  (GS-PAS)
","6,135
",,,,,,
0,"P136
","Tangga Batu
","Rusnah Aluai  (PH-PKR)
","32,420
","4,659
","Zali Mat Yassin  (BN-UMNO)
","27,761
","Abu Bakar Mohamad Diah  (BN-UMNO)
","15,633
","Zulkifli Ismail  (GS-PAS)
","8,961
",,,,,,
0,"P137
","Hang Tuah Jaya (previously known as Bukit Katil)[3]
","Shamsul Iskandar  (PH-PKR)
","39,067
","8,640
","Mohd Ali Rustam  (BN-UMNO)
","30,427
","Shamsul Iskandar  (PH-PKR)
","5,733
","Md. Khalid Kassim  (GS-PAS)
","7,089
",,,,,,
0,"P138
","Kota Melaka
","Khoo Poay Tiong  (PH-DAP)
","76,518
","49,175
","Choo Wei Sern  (BN-MCA)
","27,343
","Sim Tong Him (IND)
","20,746
","Goh Leong San (IND)
","1,415
",,,,,,
0,"P139
","Jasin
","Ahmad Hamzah  (BN-UMNO)
","26,560
","219
","Khairuddin Abu Hassan  (PH-AMANAH)
","26,341
","Ahmad Hamzah  (BN-UMNO)
","11,763
","Abd. Alim Shapie  (GS-PAS)
","8,860
",,,,,,
0,"P140
","Segamat
","Edmund Santhara  (PH-PKR)
","24,060
","5,476
","S. Subramaniam  (BN-MIC)
","18,584
","S. Subramaniam  (BN-MIC)
","1,217
","Khairul Faizi Ahmad Kamil  (GS-PAS)
","2,676
",,,,,,
0,"P141
","Sekijang
","Natrah Ismail  (PH-PKR)
","19,559
","1,281
","Ayub Rahmat  (BN-UMNO)
","18,278
","Anuar Abd. Manap  (BN-UMNO)
","3,007
",,,,,,,,
0,"P142
","Labis
","Pang Hok Liong  (PH-DAP)
","16,709
","3,408
","Chua Tee Yong  (BN-MCA)
","13,301
","Chua Tee Yong  (BN-MCA)
","353
","Sarchu Sawal  (GS-PAS)
","2,020
",,,,,,
0,"P143
","Pagoh
","Muhyiddin Yassin (PH-PPBM)
","23,558
","6,927
","Ismail Mohamed  (BN-UMNO)
","16,631
","Muhyiddin Yassin (PH-PPBM)
","12,842
","Ahmad Nawfal Mahfodz  (GS-PAS)
","2,483
",,,,,,
0,"P144
","Ledang
","Syed Ibrahim Syed Noh  (PH-PKR)
","34,706
","8,666
","Hamim Samuri  (BN-UMNO)
","26,040
","Hamim Samuri  (BN-UMNO)
","1,967
","Rusman Kemin  (GS-PAS)
","4,668
",,,,,,
0,"P145
","Bakri
","Yeo Bee Yin  (PH-DAP)
","38,718
","23,211
","Koh Chon Chai  (BN-MCA)
","15,507
","Er Teck Hwa  (PH-DAP)
","5,067
","Zarul @ Mohammad Zahrul Salleh  (GS-PAS)
","7,575
",,,,,,
0,"P146
","Muar
","Syed Saddiq Syed Abdul Rahman (PH-PPBM)
","22,341
","6,953
","Razali Ibrahim  (BN-UMNO)
","15,388
","Razali Ibrahim  (BN-UMNO)
","1,646
","Abdul Aziz Talib  (GS-PAS)
","4,354
",,,,,,
0,"P147
","Parit Sulong
","Noraini Ahmad  (BN-UMNO)
","24,481
","6,341
","Anis Afida Mohd Azli  (PH-AMANAH)
","18,140
","Noraini Ahmad  (BN-UMNO)
","11,753
","Ahmad Rosdi Bahari  (GS-PAS)
","7,148
",,,,,,
0,"P148
","Ayer Hitam
","Wee Ka Siong  (BN-MCA)
","17,076
","303
","Liew Chin Tong  (PH-DAP)
","16,773
","Wee Ka Siong  (BN-MCA)
","7,310
","Mardi Marwan  (GS-PAS)
","4,975
",,,,,,
0,"P149
","Sri Gading
","Shahruddin Md. Salleh (PH-PPBM)
","21,511
","3,288
","Aziz Kaprawi  (BN-UMNO)
","18,223
","Aziz Kaprawi  (BN-UMNO)
","5,761
","M. Ash’ari Sudin  (GS-PAS)
","4,548
",,,,,,
0,"P150
","Batu Pahat
","Mohd Rashid Hasnon  (PH-PKR)
","45,929
","17,894
","Haliza Abdullah  (BN-UMNO)
","28,035
","Mohd Idris bin Jusi  (PH-PKR)
","1,524
","Mahfodz Mohamed  (GS-PAS)
","8,173
",,,,,,
0,"P151
","Simpang Renggam
","Maszlee Malik (PH-PPBM)
","18,157
","3,475
","Liang Teck Meng  (BN-Gerakan)
","14,682
","Liang Teck Meng  (BN-Gerakan)
","5,706
","Mohd Jubri Selamat  (GS-PAS)
","2,983
",,,,,,
0,"P152
","Kluang
","Wong Shu Qi  (PH-DAP)
","47,671
","23,053
","Gan Ping Sieu  (BN-MCA)
","24,618
","Liew Chin Tong  (PH-DAP)
","7,359
","Muhammad Hasbullah Md Najib  (GS-PAS)
","8,242
",,,,,,
0,"P153
","Sembrong
","Hishamuddin Hussein  (BN-UMNO)
","21,353
","6,662
","Onn Abu Bakar  (PH-PKR)
","14,691
","Hishamuddin Hussein  (BN-UMNO)
","10,631
",,,,,,,,
0,"P154
","Mersing
","Abdul Latiff Ahmad  (BN-UMNO)
","19,806
","8,459
","Nasir Hashim (PH-PPBM)
","11,347
","Abdul Latiff Ahmad  (BN-UMNO)
","15,747
","A. Rahman A. Hamid  (GS-PAS)
","6,215
",,,,,,
0,"P155
","Tenggara
","Adham Baba  (BN-UMNO)
","20,142
","5,933
","Norjepri Mohamed Jelani (PH-PPBM)
","14,209
","Halimah Mohd Sadique  (BN-UMNO)
","17,196
","Yuhanita Yunan  (GS-PAS)
","2,683
",,,,,,
0,"P156
","Kota Tinggi
","Halimah Mohd Sadique  (BN-UMNO)
","26,407
","14,621
","Azlinda Abd. Latif (PH-PPBM)
","11,786
","Noor Ehsanuddin Mohd Harun Narrashid  (BN-UMNO)
","24,574
",,,,,,,,
0,"P157
","Pengerang
","Azalina Othman Said  (BN-UMNO)
","21,829
","11,417
","Norliza Ngadiman (PH-PPBM)
","10,412
","Azalina Othman Said  (BN-UMNO)
","22,508
",,,,,,,,
0,"P158
","Tebrau
","Steven Choong  (PH-PKR)
","64,535
","37,225
","Hou Kok Chung  (BN-MCA)
","27,310
","Khoo Soo Seang  (BN-MCA)
","1,767
","Abdullah Husin  (GS-PAS)
","12,098
",,,,,,
0,"P159
","Pasir Gudang
","Hassan Abdul Karim  (PH-PKR)
","61,615
","24,726
","Mohamed Khaled Nordin  (BN-UMNO)
","36,889
","Normala Abd Samad  (BN-UMNO)
","935
","Ab.Aziz Bin Abdullah  (GS-PAS)
","6,278
","Chee Jock  (IND)
","227
",,,,
0,"P160
","Johor Bahru
","Akmal Nasrullah Nasir  (PH-PKR)
","50,052
","19,782
","Shahrir Abdul Samad  (BN-UMNO)
","30,270
","Shahrir Abdul Samad  (BN-UMNO)
","10,495
",,,,,,,,
0,"P161
","Pulai
","Salahuddin Ayub  (PH-AMANAH)
","55,447
","28,924
","Nur Jazlan Mohamed  (BN-UMNO)
","26,523
","Nur Jazlan Mohamed  (BN-UMNO)
","3,226
","Mohammad Mazri Bin Yahya  (GS-PAS)
","4,332
","Yap Keng Tak  (IND)
","591
",,,,
0,"P162
","Iskandar Puteri (previously known as Gelang Patah)[3]
","Lim Kit Siang  (PH-DAP)
","80,726
","44,864
","Jason Teoh Sew Hock  (BN-MCA)
","35,862
","Lim Kit Siang  (PH-DAP)
","14,762
",,,,,,,,
0,"P163
","Kulai
","Teo Nie Ching  (PH-DAP)
","55,312
","32,748
","Tang Nai Soon  (BN-MCA)
","22,564
","Teo Nie Ching  (PH-DAP)
","13,450
","Juwahir bin Amin  (GS-PAS)
","6,667
",,,,,,
0,"P164
","Pontian
","Ahmad Maslan  (BN-UMNO)
","21,132
","833
","Karmaine Sardini (PH-PPBM)
","20,299
","Ahmad Maslan  (BN-UMNO)
","13,727
","Baharom Mohamad (GS-PAS)
","4,295
",,,,,,
0,"P165
","Tanjung Piai (previously known as Tanjong Piai)[3]
","Md. Farid Md. Rafik (PH-PPBM)
","21,255
","524
","Wee Jeck Seng  (BN-MCA)
","20,731
","Wee Jeck Seng  (BN-MCA)
","5,457
","Nordin Othman (GS-BERJASA)
","2,962
",,,,,,
0,"P166
","Labuan
","Rozman Isli  (BN-UMNO)
","10,164
","1,450
","Noor Halim Zaini  (WARISAN)
","8,714
","Rozman Isli  (BN-UMNO)
","6,625
","Ahmad Junid Mohd. Aling  (GS-PAS)
","1,555
","Siti Zaleha S.W. Ibrahim  (USA-PHRS)
","925
",,,,
0,"P167
","Kudat
","Abdul Rahim Bakri  (BN-UMNO)
","18,503
","1,359
","Sh. Azman Sh. Along  (WARISAN)
","17,144
","Abdul Rahim Bakri  (BN-UMNO)
","12,376
","Mohd. Ashraf Chin Abdullah  (USA-PPRS)
","1,432
",,,,,,
0,"P168
","Kota Marudu
","Maximus Ongkili  (BN-PBS)
","13,033
","1,774
","Maijol Mahap  (USA-PHRS)
","11,259
","Maximus Ongkili  (BN-PBS)
","842
","Barlus Mangabis  (WARISAN)
","7,113
","Dr. Paul Porodong  (PCS)
","2,501
",,,,
0,"P169
","Kota Belud
","Isnaraissah Munirah Majilis (WARISAN)
","23,429
","4,262
","Dr. Mohd. Salleh Mohd. Said  (BN-UMNO)
","19,167
","Abdul Rahman Dahlan  (BN-UMNO)
","5,095
","Miasin Mion  (USA-PHRS)
","2,092
","Ag. Laiman Ikin  (GS-PAS)
","1,410
",,,,
0,"P170
","Tuaran
","Wilfred Madius Tangau  (BN-UPKO)
","22,494
","7,624
","Chrisnadia Sinam  (PH-PKR)
","14,870
","Wilfred Madius Tangau  (BN-UPKO)
","5,190
","Kalakau Untol  (PCS)
","2,611
","Syra Peter Gom  (USA-PHRS)
","2,311
","Mohd. Aminuddin Aling  (GS-PAS)
","1,357
",,
0,"P171
","Sepanggar
","Azis Jamman  (WARISAN)
","28,420
","12,984
","Abdul Rahman Dahlan  (BN-UMNO)
","15,436
","Jumat Idris  (BN-UMNO)
","9,442
","Jeffrey Kumin  (USA-SAPP)
","2,958
","Robert Sopining  (PCS)
","971
",,,,
0,"P172
","Kota Kinabalu
","Chan Foong Hin  (PH-DAP)
","31,632
","24,086
","Joseph Lee Han Kyun  (BN-PBS)
","7,546
","Wong Sze Phin  (PH-DAP)
","18,959
","Yong Teck Lee  (USA-SAPP)
","3,132
",,,,,,
0,"P173
","Putatan
","Awang Husaini Sahari  (PH-PKR)
","14,106
","2,339
","Marcus Mojigoh  (BN-UPKO)
","11,767
","Marcus Mojigoh  (BN-UPKO)
","9,507
","Zulzaim Hilmee Abidin  (GS-PAS)
","2,434
","Edmund Jivol Doudilim  (USA-PHRS)
","1,755
","Mil Kusin Abdillah Sulai  (ANAK NEGERI)
","728
",,
0,"P174
","Penampang
","Ignatius Dorell Leiking  (WARISAN)
","32,470
","23,473
","Ceasar Mandela Malakun  (BN-UPKO)
","8,997
","Ignatius Dorell Leiking  (WARISAN)
","10,216
","Cleftus Stephen Spine  (USA-STAR)
","1,196
","Dr. Edwin Bosi  (ANAK NEGERI)
","445
",,,,
0,"P175
","Papar
","Ahmad Hassan  (WARISAN)
","17,394
","325
","Rosnah Shirlin  (BN-UMNO)
","17,069
","Rosnah Shirlin  (BN-UMNO)
","10,535
","Jamil William Core  (USA-STAR)
","892
","Elbert Sikuil  (PCS)
","481
",,,,
0,"P176
","Kimanis
","Anifah Aman  (BN-UMNO)
","11,942
","156
","Karim Bujang  (WARISAN)
","11,786
","Anifah Aman  (BN-UMNO)
","5,723
","Jaafar Ismail  (USA-PHRS)
","1,300
",,,,,,
0,"P177
","Beaufort
","Azizah Mohd Dun  (BN-UMNO)
","11,354
","3,331
","Lajim Ukin  (USA-PHRS)
","8,023
","Azizah Mohd Dun  (BN-UMNO)
","673
","John Ghani  (PH-PKR)
","7,835
",,,,,,
0,"P178
","Sipitang
","Yamani Hafez Musa  (BN-UMNO)
","12,038
","852
","Noor Hayaty Mustapha  (WARISAN)
","11,186
","Sapawi Ahmad  (BN-UMNO)
","9,469
","Dayang Aezzy Liman  (USA-PHRS)
","1,547
",,,,,,
0,"P179
","Ranau
","Jonathan Yasin  (PH-PKR)
","14,880
","1,076
","Ewon Ebin  (BN-UPKO)
","13,804
","Ewon Ebin  (BN-UPKO)
","3,611
","Soudi Andang  (USA-STAR)
","3,148
","Andau Yasun  (PCS)
","1,110
",,,,
0,"P180
","Keningau
","Jeffrey Kitingan  (USA-STAR)
","13,286
","45
","Jake Nointin  (WARISAN)
","13,241
","Joseph Pairin Kitingan  (BN-PBS)
","3,918
","Daniel Kinsik  (BN-PBS)
","12,742
","Jius Awang  (PCS)
","433
","Maimin Rijan  (IND)
","248
","Justin Guka  (IND)
","199
"
0,"P181
","Tenom
","Noorita Sual  (PH-DAP)
","11,363
","1,133
","Rubin Balang  (BN-UMNO)
","10,230
","Raime Unggi  (BN-UPKO)
","3,886
","Yuslinah Laikim  (USA-PHRS)
","645
",,,,,,
0,"P182
","Pensiangan
","Arthur Joseph Kurup  (BN-PBRS)
","11,783
","2,314
","Raymond Ahuar  (PH-PKR)
","9,469
","Joseph Kurup  (BN-PBRS)
","1,744
","Richard Joe Jimmy  (USA-STAR)
","2,839
","Maidin Osman  (PCS)
","212
","Engah Sintan  (IND)
","65
",,
0,"P183
","Beluran
","Ronald Kiandee  (BN-UMNO)
","13,007
","7,115
","Dr. Japar Zairun  (WARISAN)
","5,892
","Ronald Kiandee  (BN-UMNO)
","9,988
","Sipin Kadandi  (USA-PHRS)
","996
","Toidy Luit  (PCS)
","284
","Lem Matin  (USA-PPRS)
","273
","Salimah Oyong  (IND)
","246
"
0,"P184
","Libaran
","Zakaria Edris  (BN-UMNO)
","17,799
","678
","Irwanshah Mustapa  (WARISAN)
","17,121
","Juslie Ajirol  (BN-UMNO)
","11,586
","Alfian Mansyur  (USA-PHRS)
","1,223
",,,,,,
0,"P185
","Batu Sapi
","Liew Vui Keong  (WARISAN)
","12,976
","4,619
","Linda Tsen Thau Lin  (BN-PBS)
","8,357
","Linda Tsen Thau Lin  (BN-PBS)
","3,798
","Hamzah Abdullah  (PH-AMANAH)
","980
","Norsah Bongsu  (GS-PAS)
","948
",,,,
0,"P186
","Sandakan
","Wong Tien Fatt  (PH-DAP)
","19,094
","10,098
","Lim Ming Hoo  (BN-LDP)
","8,996
","Wong Tien Fatt  (PH-DAP)
","1,088
",,,,,,,,
0,"P187
","Kinabatangan
","Bung Moktar Radin  (BN-UMNO)
","14,465
","9,478
","Ghazali Abdul Ghani  (WARISAN)
","4,987
","Bung Moktar Radin  (BN-UMNO)
","9,731
","Mustapa Datu Tambuyong  (USA-PHRS)
","2,066
",,,,,,
0,"P188
","Silam
","Mohammadin Ketapi  (WARISAN)
","23,352
","6,401
","Datu Nasrun Datu Mansor  (BN-UMNO)
","16,951
","Datu Nasrun Datu Mansor  (BN-UMNO)
","13,387
","Ramli Pataruddin  (GS-PAS)
","1,432
","Siti Shazianti Ajak  (USA-PHRS)
","1,306
",,,,
0,"P189
","Semporna
","Shafie Apdal  (WARISAN)
","26,809
","20,674
","Ramlee Marhaban  (BN-UMNO)
","6,135
","Shafie Apdal  (WARISAN)
","20,905
","Abdul Nasir Ab. Raup  (GS-PAS)
","384
","Asmara Asmad  (USA-PHRS)
","98
",,,,
0,"P190
","Tawau
","Christina Liew Chin Jin  (PH-PKR)
","21,400
","4,727
","Mary Yap Kain Ching  (BN-PBS)
","16,673
","Mary Yap Kain Ching  (BN-PBS)
","4,979
","Mohamad Husain   (GS-PAS)
","2,518
","Alizaman Jijurahman  (USA-PHRS)
","2,162
",,,,
0,"P191
","Kalabakan
","Ma'mun Sulaiman  (WARISAN)
","18,486
","3,187
","Abdul Ghapur Salleh  (BN-UMNO)
","15,299
","Abdul Ghapur Salleh  (BN-UMNO)
","14,221
","Norbin Aloh  (GS-PAS)
","2,813
","Ahmad Lahama  (USA-PPRS)
","311
",,,,
0,"P192
","Mas Gading
","Mordi Bimol  (PH-DAP)
","12,771
","3,024
","Anthony Nogeh Anak Gumbek  (BN-PDP)
","9,747
","Anthony Nogeh Anak Gumbek  (BN-PDP)
","2,156
",,,,,,,,
0,"P193
","Santubong
","Wan Junaidi Tuanku Jaafar  (BN-PBB)
","26,379
","19,485
","Mohamad Fidzuan Zaidi  (PH-AMANAH)
","6,894
","Wan Junaidi Tuanku Jaafar  (BN-PBB)
","20,936
",,,,,,,,
0,"P194
","Petra Jaya
","Fadillah Yusof  (BN-PBB)
","28,306
","15,017
","Ir. Dr. Nor Irwan Ahmad Nor  (PH-PKR)
","13,289
","Fadillah Yusof  (BN-PBB)
","21,443
","Hamdan Sani  (GS-PAS)
","1,350
",,,,,,
0,"P195
","Bandar Kuching
","Kelvin Yii Lee Wuen  (PH-DAP)
","48,548
","35,973
","Kho Teck Wan  (BN-SUPP)
","12,575
","Chong Chieng Jen  (PH-DAP)
","19,642
",,,,,,,,
0,"P196
","Stampin
","Chong Chieng Jen  (PH-DAP)
","33,060
","14,221
","Dr. Sim Kui Hian  (BN-SUPP)
","18,839
","Julian Tan Kok Ping  (PH-DAP)
","18,670
",,,,,,,,
0,"P197
","Kota Samarahan
","Rubiah Wang (BN-PBB)
","25,070
","16,992
","Sopian Julaihi  (PH-AMANAH)
","8,078
","Rubiah Wang  (BN-PBB)
","17,401
","Zulkipli Ramzi  (GS-PAS)
","2,719
",,,,,,
0,"P198
","Puncak Borneo (previously known as Mambong)
","Willie Mongin  (PH-PKR)
","18,865
","4,005
","Genot Sibek @ Jeannoth Sinel  (BN-PBB)
","14,860
","James Dawos Mamit  (BN-PBB)
","9,721
","Buln Ribos  (STAR)
","795
",,,,,,
